dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
could001,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cousj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cowsc001,2025,1005,894,128,193,40,3,40,113,0,4,15,92,3,325,24,4,15,0,3,1,15,5
cox-a001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crawb001,2024,6488,5797,689,1439,302,45,149,768,8,65,59,559,77,1332,49,34,123,0,43,3,65,5
crawj002,2025,3957,3430,469,849,177,15,69,352,18,21,39,448,3,735,35,15,55,1,31,1,17,2
crawk001,2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
crewd001,2025,454,412,55,87,13,3,13,35,0,1,6,35,0,102,29,8,8,0,4,2,0,0
crimb001,2025,74,65,10,13,2,0,5,12,0,2,1,6,0,28,0,0,0,0,0,3,2,0
crisc002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crisj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crisn001,2025,11,10,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
crocg001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crond001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cronj001,2025,3325,2880,408,708,151,27,82,378,9,27,69,327,12,606,25,10,45,13,34,10,17,2
crooj001,2025,46,45,3,6,0,1,1,1,0,0,1,0,0,17,0,0,1,0,1,1,1,0
crouh001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
crowp001,2025,1107,1006,140,240,51,10,41,146,17,15,15,54,3,272,65,14,5,0,10,1,6,14
cruzf002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruzo001,2025,1553,1384,188,322,66,10,60,198,0,11,8,150,10,493,73,10,17,0,14,18,21,2
cruzo002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruzs001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuasj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuetj001,2024,660,550,27,55,1,0,0,18,90,2,1,17,0,179,1,0,6,0,13,0,0,1
currx001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curtj003,2025,5,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1
curvl001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dahld001,2024,1323,1222,176,325,66,14,46,169,3,12,7,79,4,350,17,8,13,0,11,22,40,1
dalbb001,2025,1077,976,117,214,38,7,47,143,1,5,13,82,1,395,9,0,11,0,8,9,37,11
danac001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danid001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darnd001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darnt001,2025,3785,3445,410,840,178,6,139,488,3,25,45,267,9,821,3,1,101,0,21,29,83,3
darrm002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darvy001,2025,171,156,4,15,4,0,1,6,9,1,1,4,0,85,0,0,4,0,1,0,0,0
davia003,2024,4,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
davih001,2025,660,581,61,105,21,0,15,51,4,6,10,56,2,190,5,6,6,3,7,13,6,5
davij006,2025,2151,1893,246,486,93,3,72,221,0,14,32,210,5,586,7,2,66,2,21,96,120,8
davil002,2025,47,42,3,7,2,0,1,4,2,0,0,3,0,22,0,0,1,0,0,1,3,1
davin001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davit005,2024,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
deanj001,2025,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5
